County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Queens,751177,Store,JAC,MARGARITA MEXICAN DELI  CORP,MARGARITA MEXICAN DELI,87-17,ROOSEVELT AVE,,,JACKSON HEIGHTS,NY,11372,900,-73.879118,40.74814,87-17 ROOSEVELT AVE
New York,751170,Store,JAC,2421 GARY UPTOWN WHOLE FOODS LLC,UPTOWN WHOLE FOODS,2421,BROADWAY,,,NEW YORK,NY,10024,2300,-73.974973,40.790464,2421 BROADWAY
Queens,751116,Store,JAC,ARTION BAKERY LLC,ARTION BAKERY,23-18,31ST STREET,,,ASTORIA,NY,11105,3000,-73.913487,40.773874,23-18 31ST STREET
Bronx,751038,Store,JAC,4028 GOURMET LLC,4028 GOURMET,4028,BOSTON RD,,,BRONX,NY,10475,1300,-73.83112,40.884745,4028 BOSTON RD
Bronx,751032,Store,JAC,CARIBBEAN DELI GROCERY CORP,CARIBBEAN DELI GROCERY,646,EAST 241ST ST.,,,BRONX,NY,10470,1300,-73.852038,40.904195,646 EAST 241ST ST.
Bronx,751012,Store,JAC,ARTHUR AVENUE 187 DELI INC,MANY'S DELICATSSEN,2143,WILLIAMSBRIDGE RD,,,BRONX,NY,10461,1200,-73.855933,40.856578,2143 WILLIAMSBRIDGE RD
Queens,751001,Store,JAC,NEW BELLA FRUTA INC,NEW BELLA FRUTA MARKETS,164-44,CROSSBAY BLVD,,,HOWARD BEACH,NY,11414,800,-73.83757,40.649535,164-44 CROSSBAY BLVD
Bronx,750978,Store,JAC,949 INTERPRISE INC,949 INTERPRISE,949,OGDEN AVE,,,BRONX,NY,10452,900,-73.93019,40.831508,949 OGDEN AVE
Queens,750976,Store,JAC,VEG BARN INC,VEG BARN,41-22,MAIN ST,,,FLUSHING,NY,11355,2000,-73.829241,40.757671,41-22 MAIN ST
New York,750957,Store,JAC,ONALIM INC,MILANO MARKET,1582,3RD AVE,,,NEW YORK,NY,10128,2200,-73.952637,40.780626,1582 3RD AVE
Bronx,750941,Store,JAC,KAESAR GOURMET DELI CORP,KAESAR GOURMET DELI,3917,BAY CHESTER AVE,,,BRONX,NY,10466,900,-73.842134,40.888922,3917 BAY CHESTER AVE
Queens,750938,Store,JAC,NEW YORK FISH MARKET FLUSHING INC,NEW YORK FISH MARKET,44-44,COLLEGE POINT BLVD,,,FLUSHING,NY,11355,600,-73.832615,40.752784,44-44 COLLEGE POINT BLVD
New York,750921,Store,JAC,DONGWEI GROCERY INC,DONGWEI GROCERY,95,CANAL STREET STORE B,,,NEW YORK,NY,10002,2000,-73.993809,40.715481,95 CANAL STREET STORE B
Bronx,750909,Store,JAC,NEW A&N GOURMET DELI CORP,NEW A&N GOURMET DELI,1736,ZEREGA AVE,,,BRONX,NY,10462,1500,-73.852112,40.840528,1736 ZEREGA AVE
Kings,750905,Store,JAC,MH DILSHAD HALAL MEAT & GROCERY S,MH DILSHAD HALAL MEAT &,5912,FT HAMILTON PKWY,,,BROOKLYN,NY,11219,800,-74.005256,40.633301,5912 FT HAMILTON PKWY
Kings,750865,Store,JAC,INTERNATIONAL FOOD NOBATI INC,INTERNATIONAL FOOD NOBA,1323,E 18TH ST,,,BROOKLYN,NY,11230,800,-73.957106,40.617953,1323 E 18TH ST
Bronx,750839,Store,JAC,RIVER CITY DELI INC,RIVER CITY DELI,2430,E TREMONT AVE,,,BRONX,NY,10461,1600,-73.852105,40.842611,2430 E TREMONT AVE
