County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Bronx,745532,Store,JAC,RJ CASTLE HILL FOOD CORP,PIONEER SUPERMARKET,1345,CASTLE HILL AVE,,,BRONX,NY,10462,85000,-73.852012,40.835314,1345 CASTLE HILL AVE
Queens,745254,Store,JAC,BJS WHOLESALE CLUB INC,BJS WHOLESALE CLUB,34-60,48TH ST,,,LONG ISLAND CITY,NY,11101,50000,-73.91502,40.752003,34-60 48TH ST
Queens,744485,Store,JAC,STOP & SHOP SUPERMARKET COMPANY L,STOP & SHOP 2570,253-01,ROCKAWAY BLVD,,,ROSEDALE,NY,11422,60000,-73.740364,40.637615,253-01 ROCKAWAY BLVD
Bronx,741657,Store,JAC,BOGOPA BTM LLC,FOOD BAZAAR,610,EXTERIOR STREET,,,BRONX,NY,10451,83000,-73.931059,40.824072,610 EXTERIOR STREET
Kings,740199,Store,JAC,FIRST CHOICE BAKERY INC,FIRST CHOICE BAKERY,2829,HARWAY AVE,,,BROOKLYN,NY,11214,80000,-73.985153,40.588282,2829 HARWAY AVE
Kings,724038,Store,JAC,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,238,BEDFORD AVE,,,BROOKLYN,NY,11249,51000,-73.959654,40.71605,238 BEDFORD AVE
New York,723261,Store,JAC,59-5 FRUIT & VEGETABLE CORP,MERCI MARKET,59,5TH AVENUE,,,NEW YORK,NY,10003,50000,-73.994251,40.735123,59 5TH AVENUE
Bronx,721856,Store,JAC,BOGOPA WASHINGTON INC,FOOD BAZAAR,445,EAST 163RD STREET,,,BRONX,NY,10451,80000,-73.911246,40.824839,445 EAST 163RD STREET
Richmond,719350,Store,JAC,STOP & SHOP SUPERMARKET CO LLC TH,STOP & SHOP #2595,1351,FOREST AVE,,,STATEN ISLAND,NY,10302,50000,-74.134407,40.625976,1351 FOREST AVE
Queens,719263,Store,JAC,STOP& SHOPSUPERMARKET CO LLC THE,STOP & SHOP #2589,92-10,ATLANTIC AVE,,,OZONE PARK,NY,11416,65000,-73.850357,40.687639,92-10 ATLANTIC AVE
Kings,713169,Store,JAC,GATEWAY SHOPRITE ASSOCIATES LLC,SHOPRITE OF GATEWAY CEN,590,GATEWAY DR,,,BROOKLYN,NY,11239,90000,-73.867029,40.652608,590 GATEWAY DR
Queens,710391,Store,JAC,BOGOPA LIC INC,FOOD BAZAAR,42-02,NORTHERN BLVD,,,LONG ISLAND CITY,NY,11101,70000,-73.92164,40.752987,42-02 NORTHERN BLVD
New York,706102,Store,JAC,CHINATOWN SUPERMARKET OF MANHATTA,CHINATOWN SUPERMARKET O,109,EAST BROADWAY,,,NEW YORK,NY,10002,95000,-73.992937,40.713829,109 EAST BROADWAY
New York,704327,Store,JAC,REYCO SUPERMARKETS LLC,SUPER FI EMPORIUM,1635,LEXINGTON AVE,,,NEW YORK,NY,10029,72000,-73.947465,40.79063,1635 LEXINGTON AVE
Richmond,641574,Store,JAC,STOP&SHOP SUPERMARKET CO LLC THE,SUPER STOP&SHOP #2512,1441,RICHMOND AVE,,,STATEN ISLAND,NY,10314,60000,-74.159241,40.612192,1441 RICHMOND AVE
Richmond,641032,Store,JAC,TARGET CORP,TARGET 2006,2900,VETERANS PKWY W,,,STATEN ISLAND,NY,10309,140000,,,2900 VETERANS PKWY W
Queens,639784,Store,JAC,TARGET CORP,TARGET #2451,40-24,COLLEGE PT BLVD,,,FLUSHING,NY,11354,160000,-73.83416,40.757597,40-24 COLLEGE PT BLVD
Queens,639680,Store,JAC,COSTCO WHOLESALE CORP,COSTCO #1070,61-35,JUNCTION BLVD,,,REGO PARK,NY,11374,158000,-73.863729,40.732552,61-35 JUNCTION BLVD
Queens,639359,Store,JAC,BJS WHOLESALE CLUB INC,BJS WHOLESALE CLUB 206,131-07,"40TH RD, SUITE A100",,,FLUSHING,NY,11354,180000,-73.835671,40.756168,"131-07 40TH RD, SUITE A100"
Queens,635387,Store,JAC,TARGET CORPORATION,TARGET 1344,88-01,QUEENS BLVD,,,ELMHURST,NY,11373,230000,-73.874569,40.73498,88-01 QUEENS BLVD
Kings,618070,Store,JAC,TARGET CORPORATION,TARGET 1401,519,GATEWAY DR,,,BROOKLYN,NY,11239,123000,-73.868628,40.651554,519 GATEWAY DR
Kings,613302,Store,JAC,NYC SHOPRITE ASSOCIATES INC,SHOPRITE OF AVENUE I,1080,MCDONALD AVE,,,BROOKLYN,NY,11230,70000,-73.976408,40.626787,1080 MCDONALD AVE
Kings,612673,Store,JAC,TARGET CORP,TARGET 2212,1598,FLATBUSH AVE,,,BROOKLYN,NY,11210,230000,-73.946292,40.63153,1598 FLATBUSH AVE
Kings,611095,Store,JAC,BOGOPA MANHATTAN INC,FOOD BAZAAR,21,MANHATTAN AVE.,,,BROOKLYN,NY,11206,54000,-73.944218,40.703013,21 MANHATTAN AVE.
Bronx,602817,Store,JAC,BOGOPA-CONCOURSE INC,FOOD BAZAAR,238,E 161ST ST,,,BRONX,NY,10451,54000,-73.920368,40.826147,238 E 161ST ST
