County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Kings,751178,Store,JAC,HATZLACHA SUPERMARKET INC,HATZLACHA SUPERMARKET,744,BEDFORD AVE,,,BROOKLYN,NY,11205,10000,-73.956925,40.69843,744 BEDFORD AVE
New York,750527,Store,JAC,WEST END BROOKLYN FARE LLC,BROOKLYN FARE,75,WEST END AVE.,,,NEW YORK,NY,10023,21000,-73.988737,40.774021,75 WEST END AVE.
Queens,750509,Store,JAC,SUBZI BAZAAR NY II INC,SUBZI BAZAAR,42-92,MAIN STREET,,,FLUSHING,NY,11355,8200,-73.827092,40.752806,42-92 MAIN STREET
Kings,750408,Store,JAC,EMILIOS FOOD CORP,TONYS STOP & SAVE SUPER,1161,SUTTER AVENUE,,,BROOKLYN,NY,11208,5000,-73.875104,40.672329,1161 SUTTER AVENUE
Queens,750387,Store,JAC,WONDERFUL MARKET PLACE INC,WONDERFUL MARKET PLACE,137-35,ELDER AVE,,,FLUSHING,NY,11355,8000,-73.825383,40.751193,137-35 ELDER AVE
Kings,750245,Store,JAC,FARM TO PEOPLE LLC,FARM TO PEOPLE,1100,FLUSHING AVE,,,BROOKLYN,NY,11237,17000,-73.927108,40.705367,1100 FLUSHING AVE
Kings,750011,Store,JAC,LM III INC,LINCOLN MARKET,1134,FULTON ST,,,BROOKLYN,NY,11216,12000,-73.955105,40.681012,1134 FULTON ST
Queens,749972,Store,JAC,A&E SUPERMARKET INC,A&E SUPERMARKET,117-31,FARMERS BLVD,,,SAINT ALBANS,NY,11412,5000,-73.76227,40.690691,117-31 FARMERS BLVD
Queens,748733,Store,JAC,ROSENTHAL WINE MERCHANTS(NY) LTD,MAD ROSE,56-43,58TH STREET,,,MASPETH,NY,11378,10000,-73.912494,40.724393,56-43 58TH STREET
Bronx,748678,Store,JAC,1434 FOOD CO LLC,SUPERFRESH KEY FOOD,1434,JEROME AVENUE,,,BRONX,NY,10452,14000,-73.91711,40.841029,1434 JEROME AVENUE
Kings,748587,Store,JAC,TARGET CORP,TARGET STORE T-3356,8973-95,BAY PKWY,,,BROOKLYN,NY,11214,20000,-74.001722,40.594251,8973-95 BAY PKWY
Queens,748474,Store,JAC,134 LIBERTY AVE LLC,APNA BAZAR FARMERS MKT,134-02,LIBERTY AVE,,,SOUTH RICHMOND HIL,NY,11419,10000,-73.812546,40.691453,134-02 LIBERTY AVE
Kings,748317,Store,JAC,MELCCA INC,MELCCA SUPERMARKET,268,KNICKERBOCKER AVE,,,BROOKLYN,NY,11237,5000,-73.924496,40.702296,268 KNICKERBOCKER AVE
Queens,748307,Store,JAC,JAMAICA FINEST MEAT CORP,GREEN VALLEY SUPERMARKE,85-08,JAMAICA AVE,,,WOODHAVEN,NY,11421,5000,-73.859013,40.692526,85-08 JAMAICA AVE
Bronx,747990,Store,JAC,ST MEAT & GROCERY INC,FOOD FAIR FRESH MARKET,2467,JEROME AVE,,,BRONX,NY,10468,15000,-73.900702,40.863234,2467 JEROME AVE
Queens,747912,Store,JAC,RAM UNION INC,RAM UNION,176-19,UNION TPKE,,,FRESH MEADOWS,NY,11366,8000,-73.792555,40.725618,176-19 UNION TPKE
Queens,747761,Store,JAC,109-03 LIBERTY AVENUE REALTY CORP,K TOWN SUPERMARKET,109-01,LIBERTY AVE,,,SOUTH RICHMOND HIL,NY,11419,17000,-73.832726,40.684119,109-01 LIBERTY AVE
New York,747589,Store,JAC,MARS RETAIL GROUP INC,M & M WORLD NYC,1600,BROADWAY,,,NEW YORK,NY,10019,20000,-73.984742,40.760291,1600 BROADWAY
Kings,747329,Store,JAC,509 MEAT CORP,URBAN MARKET PARK SLOPE,509,5TH AVENUE,,,BROOKLYN,NY,11215,7000,-73.98808,40.667039,509 5TH AVENUE
Kings,747272,Store,JAC,20TH AVE SUPERMARKET INC,20TH AVE SUPERMARKET,8506,20TH AVE,,,BROOKLYN,NY,11214,10000,-73.997715,40.605127,8506 20TH AVE
Kings,747248,Store,JAC,URTH MARKET LLC,MARKET ON KENT,921,MANHATTAN AVENUE,,,BROOKLYN,NY,11222,6000,-73.954364,40.730799,921 MANHATTAN AVENUE
Bronx,747053,Store,JAC,BROOK MEAT & PRODUCE CORP,SHOP FAIR,228,BROOK AVENUE,,,BRONX,NY,10454,10000,-73.919575,40.807079,228 BROOK AVENUE
Kings,746931,Store,JAC,ALOE FRUITS LLC,ALOE FRUITS,120,UNION AVE,,,BROOKLYN,NY,11206,5000,-73.950211,40.704181,120 UNION AVE
Queens,746918,Store,JAC,EJ MEAT MARKET CORP,MANGO HILLS,290,BEACH 145TH STREET,,,FAR ROCKAWAY,NY,11691,8000,-73.861375,40.571658,290 BEACH 145TH STREET
Bronx,746886,Store,JAC,MIANDAV FOOD CORP,FOOD UNIVERSE MARKET PL,1187,JEROME AVENUE,,,BRONX,NY,10452,8000,-73.923063,40.83567,1187 JEROME AVENUE
Queens,746845,Store,JAC,US 1 SUPERMARKET INC,US 1 SUPERMARKET,39-12,MAIN STREET,,,FLUSHING,NY,11354,22000,-73.830291,40.759791,39-12 MAIN STREET
Kings,746637,Store,JAC,BEYOND NATURAL MARKET INC,BEYOND NATURAL MARKET,195,MONTROSE AVE,,,BROOKLYN,NY,11206,10000,-73.941537,40.707499,195 MONTROSE AVE
Queens,746580,Store,JAC,109 DELI & GRILL CORP,109 DELI & GRILL,10902,GUY R BREWER BLVD,,,JAMAICA,NY,11433,12500,-73.789998,40.69486,10902 GUY R BREWER BLVD
Queens,746484,Store,JAC,6401 MEAT & PRODUCE CORP,C TOWN SUPERMARKET,64-01,FRESH POND RD,,,RIDGEWOOD,NY,11385,15000,-73.899204,40.710102,64-01 FRESH POND RD
Queens,746351,Store,JAC,J & H FARMERS MARKET CORP,JOHN'S FARM MARKET,112-55,FARMERS BLVD,,,SAINT ALBANS,NY,11412,10000,-73.7632,40.69961,112-55 FARMERS BLVD
